Country,Date,State,Lat,Long,Deaths,New Deaths
Australia,2020-01-22,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-23,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-24,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-25,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-26,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-27,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-28,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-29,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-30,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-01-31,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-01,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-02,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-03,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-04,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-05,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-06,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-07,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-08,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-09,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-10,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-11,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-12,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-13,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-14,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-15,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-16,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-17,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-18,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-19,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-20,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
Australia,2020-02-21,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,-256.85020000000003,1130.8439,0,0.0
